Full Course Name,Course Code
MATH 6301 Real Analysis,MATH 6301
MATH 6303 Theory of Complex Functions I,MATH 6303
MATH 6311 Abstract Algebra I,MATH 6311
MATH 6315 Ordinary Differential Equations,MATH 6315
MATH 6302 Functional Analysis I,MATH 6302
MATH 6309 Differential Geometry,MATH 6309
MATH 6310 Topology,MATH 6310
MATH 6312 Combinatorics and Graph Theory,MATH 6312
MATH 6325 Nonlinear Analysis I,MATH 6325
MATH 7313 Partial Differential Equations I,MATH 7313
MATH 7361 Algebraic Geometry and Non-linear Equations,MATH 7361
MATH 6313 Numerical Analysis,MATH 6313
MATH 6315 Ordinary Differential Equations,MATH 6315
MATH 6319 Principles and Techniques in Applied Mathematics I,MATH 6319
MATH 6321 Optimization,MATH 6321
MATH 5301 Elementary Analysis I and MATH 5302 Elementary Analysis II,MATH 5301
or MATH 6301 Real Analysis,MATH 6301
MATH 6303 Theory of Complex Functions I,MATH 6303
MATH 6308 Inverse Problems and Applications,MATH 6308
MATH 6312 Combinatorics and Graph Theory,MATH 6312
MATH 6318 Numerical Analysis of Differential Equations,MATH 6318
MATH 6320 Principles and Techniques in Applied Mathematics II,MATH 6320
MATH 6324 Applied Dynamical Systems I,MATH 6324
MATH 6336 Nonlinear Control Systems,MATH 6336
MATH 6340 Numerical Linear Algebra,MATH 6340
MATH 6342 Scientific Computing,MATH 6342
MATH 7313 Partial Differential Equations I,MATH 7313
MATH 5301 Elementary Analysis I (or equivalent),MATH 5301
MATH 5302 Elementary Analysis II (or equivalent),MATH 5302
MATH 6305 Mathematics of Signal Processing,MATH 6305
MATH 6321 Optimization,MATH 6321
"MATH 6331 Mathematics of Signals, Systems, and Controls",MATH 6331
MATH 7318 or OPRE 7318 Stochastic Dynamic Programming,MATH 7318
STAT 5353 Probability and Statistics for Data Science and Bioinformatics,STAT 5353
STAT 6329 Applied Probability and Stochastic Processes,STAT 6329
or MATH 6364 Stochastic Calculus in Finance,MATH 6364
STAT 6340 Statistical and Machine Learning,STAT 6340
FIN 6381 Introductory Mathematical Finance,FIN 6381
or ACTS 6308 Actuarial Financial Mathematics,ACTS 6308
CS 5303 Computer Science I,CS 5303
CS 5343 Algorithm Analysis and Data Structures,CS 5343
CS 6307 Introduction to Big Data Management and Analytics for non CS-Majors,CS 6307
CS 6375 Machine Learning,CS 6375
MATH 6312 Combinatorics and Graph Theory,MATH 6312
MATH 6321 Optimization,MATH 6321
MATH 6340 Numerical Linear Algebra,MATH 6340
or MATH 6319 Principles and Techniques in Applied Mathematics I,MATH 6319
MATH 6322 Mathematical Foundations of Data Science,MATH 6322
STAT 5353 Probability and Statistics for Data Science and Bioinformatics,STAT 5353
STAT 6340 Statistical and Machine Learning,STAT 6340
STAT 6331 Statistical Inference I,STAT 6331
STAT 6337 Advanced Statistical Methods I,STAT 6337
STAT 6338 Advanced Statistical Methods II,STAT 6338
STAT 6339 Linear Statistical Models,STAT 6339
STAT 6341 Numerical Linear Algebra and Statistical Computing,STAT 6341
STAT 6329 Applied Probability and Stochastic Processes,STAT 6329
or STAT 7345 Advanced Probability and Stochastic Processes,STAT 7345
STAT 6348 Applied Multivariate Analysis,STAT 6348
or STAT 7331 Multivariate Analysis,STAT 7331
STAT 6347 Applied Time Series Analysis,STAT 6347
or STAT 7338 Time Series Modeling and Filtering,STAT 7338
STAT 7330 Bayesian Data Analysis,STAT 7330
STAT 7334 Nonparametric and Robust Statistical Methods,STAT 7334
MATH 5301 Elementary Analysis I,MATH 5301
MATH 5302 Elementary Analysis II,MATH 5302
STAT 5351 Probability and Statistics I,STAT 5351
STAT 5352 Probability and Statistics II,STAT 5352
STAT 5351 Probability and Statistics I,STAT 5351
STAT 5352 Probability and Statistics II,STAT 5352
STAT 6337 Advanced Statistical Methods I,STAT 6337
STAT 6338 Advanced Statistical Methods II,STAT 6338
STAT 6341 Numerical Linear Algebra and Statistical Computing,STAT 6341
STAT 6329 Applied Probability and Stochastic Processes,STAT 6329
STAT 6347 Applied Time Series Analysis,STAT 6347
STAT 6348 Applied Multivariate Analysis,STAT 6348
STAT 7330 Bayesian Data Analysis,STAT 7330
CS 5303 Computer Science I,CS 5303
CS 5343 Algorithm Analysis and Data Structures,CS 5343
CS 6307 Introduction to Big Data Management and Analytics for non CS-Majors,CS 6307
CS 6375 Machine Learning,CS 6375
MATH 6312 Combinatorics and Graph Theory,MATH 6312
STAT 5351 Probability and Statistics I,STAT 5351
STAT 5352 Probability and Statistics II,STAT 5352
STAT 6337 Advanced Statistical Methods I,STAT 6337
