Full Course Name,Course Code
"A MS student in ME must take a total of four core courses, selected from two or more concentration areas from the list of the four concentration areas below, and must receive a grade of B- or better in the four core courses. A student must maintain a grade point average (GPA) of at least 3.0 to remain in good standing and satisfy the degree requirements.",A MS
MECH 6300 (EECS 6331 or SYSM 6307) Linear Systems,MECH 6300
MECH 6309 Intermediate Dynamics,MECH 6309
MECH 6325 Optimal Estimation and Kalman Filter,MECH 6325
MECH 6326 Optimal Control and Dynamic Programming,MECH 6326
MECH 6303 Computer Aided Design,MECH 6303
MECH 6318 Engineering Optimization,MECH 6318
MECH 6333 Materials Design and Manufacturing,MECH 6333
MECH 6306 Continuum Mechanics,MECH 6306
MECH 6350 Advanced Solid Mechanics,MECH 6350
MECH 6370 Incompressible Fluid Mechanics,MECH 6370
MECH 6373 Convective Heat Transfer,MECH 6373
MECH 6374 Conductive and Radiative Heat Transfer,MECH 6374
MECH 6300 (EECS 6331 or SYSM 6307) Linear Systems,MECH 6300
MECH 6308 Haptics and Teleoperated Systems,MECH 6308
MECH 6309 Intermediate Dynamics,MECH 6309
MECH 6311 Advanced Mechanical Vibrations,MECH 6311
"MECH 6312 (EESC 6349) Probability, Random Variables, and Statistics",MECH 6312
MECH 6313 (EECS 6336 or BMEN 6388 or SYSE 6324) Nonlinear Systems,MECH 6313
MECH 6314 (SYSM 6306 or BMEN 6372) Engineering Systems: Modeling and Simulation,MECH 6314
MECH 6316 (SYSE 6322) Digital Control of Automotive Powertrain Systems,MECH 6316
MECH 6317 (EECS 6302 or SYSM 6302) Dynamics of Complex Networks and Systems,MECH 6317
MECH 6318 Engineering Optimization,MECH 6318
MECH 6319 Dynamics and Control of MEMS,MECH 6319
MECH 6323 (SYSE 6323 or EECS 6323) Robust Control Systems,MECH 6323
MECH 6324 (BMEN 6324 or EECS 6324) Robot Control,MECH 6324
MECH 6325 Optimal Estimation and Kalman Filter,MECH 6325
MECH 6326 Optimal Control and Dynamic Programming,MECH 6326
MECH 6327 Convex Optimization in Systems and Controls,MECH 6327
MECH 6328 Frequency-Domain Analysis and Design of Control Systems,MECH 6328
MECH 6V29 Special Topics in Dynamic Systems and Control,MECH 6V29
MECH 6303 Computer Aided Design,MECH 6303
MECH 6311 Advanced Mechanical Vibrations,MECH 6311
MECH 6314 (BMEN 6372 or SYSM 6306) Engineering Systems: Modeling and Simulation,MECH 6314
MECH 6317 (EECS 6302 or SYSM 6302) Dynamics of Complex Networks and Systems,MECH 6317
MECH 6318 Engineering Optimization,MECH 6318
MECH 6319 Dynamics and Control of MEMS,MECH 6319
MECH 6330 Multiscale Design and Optimization,MECH 6330
MECH 6333 Materials Design and Manufacturing,MECH 6333
MECH 6334 Smart Materials and Structures,MECH 6334
MECH 6335 (OPRE 6340) Flexible Manufacturing Strategies,MECH 6335
"MECH 6337 (SYSM 6301) Systems Engineering, Architecture and Design",MECH 6337
MECH 6338 Reliability-Based Design,MECH 6338
MECH 6339 Multidisciplinary Design Optimization,MECH 6339
MECH 6341 (EEMF 6348 or MSEN 6348) Lithography and Nanofabrication,MECH 6341
MECH 6342 Renewable Energy and Grid Integration,MECH 6342
MECH 6347 (EEMF 6382 or MSEN 6382) Introduction to MEMS,MECH 6347
MECH 6348 (EEMF 6322 or MSEN 6322) Semiconductor Processing Technology,MECH 6348
MECH 6351 Finite Element Techniques I,MECH 6351
MECH 6353 Computational Mechanics,MECH 6353
MECH 6354 Experimental Mechanics,MECH 6354
MECH 6V49 Special Topics in Manufacturing and Design Innovation,MECH 6V49
MECH 5300 (MSEN 5300 or PHYS 5376) Introduction to Materials Science,MECH 5300
MECH 6306 Continuum Mechanics,MECH 6306
MECH 6350 Advanced Solid Mechanics,MECH 6350
MECH 6351 Finite Element Techniques I,MECH 6351
MECH 6353 Computational Mechanics,MECH 6353
MECH 6354 Experimental Mechanics,MECH 6354
MECH 6355 Viscoelasticity,MECH 6355
MECH 6356 Fracture Mechanics,MECH 6356
MECH 6357 (MSEN 6380) Phase Transformations and Kinetic Processes in Materials,MECH 6357
MECH 6358 (MSEN 6381) Advanced Ceramic Materials,MECH 6358
