Full Course Name,Course Code
BIOL 2311 Introduction to Modern Biology I (with workshop),BIOL 2311
BIOL 3361 Biochemistry I or BIOL 6352 Modern Biochemistry I,BIOL 3361
BIOL 3301 Classical and Molecular Genetics or BIOL 6331 Molecular Genetics,BIOL 3301
BIOL 3302 Eukaryotic Molecular and Cell Biology or BIOL 6356 Eukaryotic Molecular and Cell Biology,BIOL 3302
BIOL 5410 Biochemistry,BIOL 5410
BIOL 5420 Molecular Biology,BIOL 5420
BIOL 5460 Quantitative Biology,BIOL 5460
BIOL 5440 Cell Biology,BIOL 5440
"BMEN 6374 Genes, Proteins and Cell Biology for Engineers",BMEN 6374
BIOL 6V00 Topics in Biological Sciences (Computational Molecular Evolution),BIOL 6V00
CS 5303 Computer Science I,CS 5303
MATH 5303 Advanced Calculus and Linear Algebra,MATH 5303
STAT 5351 Probability and Statistics I (for Elective Group 2),STAT 5351
or STAT 5353 Probability and Statistics for Data Science and Bioinformatics (for Elective Groups 1 and 3),STAT 5353
CS 5343 Algorithm Analysis and Data Structures,CS 5343
MATH 6312 Combinatorics and Graph Theory,MATH 6312
MATH 6341 Bioinformatics,MATH 6341
or BIOL 5376 Applied Bioinformatics,BIOL 5376
MATH 6346 Medical Image Analysis,MATH 6346
CS 6307 Introduction to Big Data Management and Analytics for non CS-Majors,CS 6307
CS 6314 Web Programming Languages,CS 6314
CS 6360 Database Design,CS 6360
CS 6375 Machine Learning,CS 6375
STAT 5352 Probability and Statistics II,STAT 5352
STAT 6337 Advanced Statistical Methods I,STAT 6337
STAT 6338 Advanced Statistical Methods II,STAT 6338
STAT 6340 Statistical and Machine Learning,STAT 6340
MATH 6341 Bioinformatics,MATH 6341
or BIOL 5376 Applied Bioinformatics,BIOL 5376
MATH 6346 Medical Image Analysis,MATH 6346
MATH 6341 Bioinformatics,MATH 6341
or BIOL 5376 Applied Bioinformatics,BIOL 5376
MATH 6345 Mathematical Methods in Medicine and Biology,MATH 6345
MATH 6346 Medical Image Analysis,MATH 6346
BIOL 5375 Genes to Genomes,BIOL 5375
BIOL 5381 Genomics,BIOL 5381
BIOL 6315 Epigenetics,BIOL 6315
BIOL 6373 Proteomics,BIOL 6373
BIOL 6385 Computational Biology,BIOL 6385
or BMEN 6389 Computational Biology,BMEN 6389
or MATH 6343 Computational Biology,MATH 6343
BIOL 5410 Biochemistry,BIOL 5410
BIOL 5420 Molecular Biology,BIOL 5420
STAT 5351 Probability and Statistics I (for Elective Group 2),STAT 5351
or STAT 5353 Probability and Statistics for Data Science and Bioinformatics (for Elective Groups 1 and 3),STAT 5353
MATH 5303 Advanced Calculus and Linear Algebra,MATH 5303
CS 5303 Computer Science I,CS 5303
CS 5343 Algorithm Analysis and Data Structures,CS 5343
MATH 6312 Combinatorics and Graph Theory,MATH 6312
MATH 6341 Bioinformatics,MATH 6341
or BIOL 5376 Applied Bioinformatics,BIOL 5376
MATH 6346 Medical Image Analysis,MATH 6346
CS 6307 Introduction to Big Data Management and Analytics for non CS-Majors,CS 6307
CS 6314 Web Programming Languages,CS 6314
CS 6360 Database Design,CS 6360
CS 6375 Machine Learning,CS 6375
STAT 5352 Probability and Statistics II,STAT 5352
STAT 6337 Advanced Statistical Methods I,STAT 6337
STAT 6338 Advanced Statistical Methods II,STAT 6338
STAT 6340 Statistical and Machine Learning,STAT 6340
MATH 6341 Bioinformatics,MATH 6341
or BIOL 5376 Applied Bioinformatics,BIOL 5376
MATH 6346 Medical Image Analysis,MATH 6346
MATH 6341 Bioinformatics,MATH 6341
or BIOL 5376 Applied Bioinformatics,BIOL 5376
MATH 6346 Medical Image Analysis,MATH 6346
MATH 6345 Mathematical Methods in Medicine and Biology,MATH 6345
BIOL 5375 Genes to Genomes,BIOL 5375
BIOL 5381 Genomics,BIOL 5381
BIOL 6315 Epigenetics,BIOL 6315
BIOL 6373 Proteomics,BIOL 6373
BIOL 6385 Computational Biology,BIOL 6385
or BMEN 6389 Computational Biology,BMEN 6389
or MATH 6343 Computational Biology,MATH 6343
BIOL 6V00 Topics in Biological Sciences (Computational Molecular Evolution),BIOL 6V00
BIOL 6V00 Topics in Biological Sciences (Introduction to Programming for Biological Sciences),BIOL 6V00
