Full Course Name,Course Code
PHYS 5301 Mathematical Methods of Physics I,PHYS 5301
PHYS 5311 Classical Mechanics,PHYS 5311
PHYS 5320 Electromagnetism I,PHYS 5320
PHYS 6300 Quantum Mechanics I,PHYS 6300
PHYS 5301 Mathematical Methods of Physics I,PHYS 5301
PHYS 5302 Mathematical Methods of Physics II,PHYS 5302
PHYS 5311 Classical Mechanics,PHYS 5311
PHYS 5313 Statistical Physics,PHYS 5313
PHYS 5320 Electromagnetism I,PHYS 5320
PHYS 5322 Electromagnetism II,PHYS 5322
PHYS 6300 Quantum Mechanics I,PHYS 6300
PHYS 6383 Plasma Science,PHYS 6383
PHYS 6301 Quantum Mechanics II,PHYS 6301
