Full Course Name,Course Code
EPPS 6302 Methods of Data Collection and Production,EPPS 6302
PPPE 6310 Research Design I,PPPE 6310
EPPS 6313 Introduction to Quantitative Methods,EPPS 6313
or EPPS 7313 Descriptive and Inferential Statistics,EPPS 7313
EPPS 6316 Applied Regression,EPPS 6316
or EPPS 7316 Regression and Multivariate Analysis,EPPS 7316
EPPS 6356 Data Visualization,EPPS 6356
or GISC 6363 Internet Mapping and Information Processing,GISC 6363
EPPS 6317 (GISC 6317) Social and Geospatial Science Programming Fundamentals,EPPS 6317
EPPS 6323 Knowledge Mining,EPPS 6323
EPPS 6326 (GISC 6323) Machine Learning for Socio-Economic and Geo-Referenced Data,EPPS 6326
EPPS 6346 Qualitative Research Orientation,EPPS 6346
"EPPS 6352 Evaluation Research Methods in the Economic, Political and Policy Sciences",EPPS 6352
EPPS 6354 Information Management,EPPS 6354
EPPS 6355 Content Analysis,EPPS 6355
EPPS 6356 Data Visualization,EPPS 6356
EPPS 7304 Cost-Benefit Analysis,EPPS 7304
EPPS 7318 Structural Equation and Multilevel (Hierarchical) Modeling,EPPS 7318
EPPS 7344 Categorical and Limited Dependent Variables,EPPS 7344
EPPS 7370 Time Series Analysis I,EPPS 7370
EPPS 7371 Time Series Analysis II,EPPS 7371
EPPS 7386 Survey Research,EPPS 7386
EPPS 7390 Bayesian Analysis for Social and Behavioral Sciences,EPPS 7390
EPPS 7V81 Special Topics in Social Science Research Methodology,EPPS 7V81
ECON 6305 Mathematical Economics,ECON 6305
ECON 6306 Applied Econometrics,ECON 6306
GISC 6301 GIS Data Analysis Fundamentals,GISC 6301
GISC 6321 Spatial Data Science,GISC 6321
GISC 6363 Internet Mapping and Information Processing,GISC 6363
GISC 6381 Geographic Information Systems Fundamentals,GISC 6381
GISC 6384 Advanced Geographic Information Systems,GISC 6384
GISC 7310 Advanced GIS Data Analysis,GISC 7310
GISC 7360 GIS Pattern Analysis,GISC 7360
GISC 7361 Spatial Statistics,GISC 7361
