Full Course Name,Course Code
OPRE 6301 Statistics and Data Analysis,OPRE 6301
or OPRE 6359 Advanced Statistics for Data Science,OPRE 6359
OPRE 6302 Operations Management,OPRE 6302
OPRE 6366 Global Supply Chain Management,OPRE 6366
OPRE 6370 Global Logistics and Transportation,OPRE 6370
"OPRE 6371 Purchasing, Sourcing and Contract Management",OPRE 6371
ACCT 6305 Accounting for Managers,ACCT 6305
FIN 6301 Financial Management,FIN 6301
OPRE 6009 Supply Chain Management Internship (required elective),OPRE 6009
OPRE 6304 Operations Analytics,OPRE 6304
OPRE 6305 Business Analytics with R,OPRE 6305
OPRE 6325 Healthcare Operations Management,OPRE 6325
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6334 Advanced Business Analytics with SAS,OPRE 6334
OPRE 6335 Risk and Decision Analysis,OPRE 6335
OPRE 6340 Flexible Manufacturing Strategies,OPRE 6340
OPRE 6341 Retail Operations,OPRE 6341
OPRE 6354 Quality Improvement in Healthcare: Six Sigma and Beyond,OPRE 6354
or OPRE 6364 Lean Six Sigma,OPRE 6364
OPRE 6355 Deal Making Strategies,OPRE 6355
OPRE 6359 Advanced Statistics for Data Science,OPRE 6359
OPRE 6362 Project Management in Engineering and Operations,OPRE 6362
OPRE 6363 Inventory Control,OPRE 6363
OPRE 6367 Capstone Projects in Supply Chain Management,OPRE 6367
OPRE 6368 Industrial Applications in Supply Chains,OPRE 6368
OPRE 6369 Supply Chain Software with SAP,OPRE 6369
or OPRE 6390 Enterprise Resource Planning with SAP,OPRE 6390
OPRE 6377 Demand and Revenue Analytics,OPRE 6377
OPRE 6378 Supply Chain Strategy,OPRE 6378
OPRE 6379 Product Lifecycle Management,OPRE 6379
OPRE 6382 Supply Chain Trade Compliance,OPRE 6382
OPRE 6388 Engineering Packaged Goods Distribution,OPRE 6388
"OPRE 6389 Managing Energy: Risk, Investment, Technology (MERIT)",OPRE 6389
OPRE 6393 Database Foundations,OPRE 6393
OPRE 6394 Technology and New Product Development,OPRE 6394
OPRE 6398 Prescriptive Analytics,OPRE 6398
OPRE 6399 Business Analytics with SAS,OPRE 6399
OPRE 6V98 Supply Chain Management Internship,OPRE 6V98
OPRE 6V99 Special Topics in Operations Research,OPRE 6V99
OPRE 6304 Operations Analytics,OPRE 6304
OPRE 6332 Spreadsheet Modeling and Analytics,OPRE 6332
OPRE 6398 Prescriptive Analytics,OPRE 6398
OPRE 6341 Retail Operations,OPRE 6341
OPRE 6355 Deal Making Strategies,OPRE 6355
OPRE 6377 Demand and Revenue Analytics,OPRE 6377
OPRE 6335 Risk and Decision Analysis,OPRE 6335
OPRE 6362 Project Management in Engineering and Operations,OPRE 6362
"OPRE 6389 Managing Energy: Risk, Investment, Technology (MERIT)",OPRE 6389
OPRE 6340 Flexible Manufacturing Strategies,OPRE 6340
OPRE 6364 Lean Six Sigma,OPRE 6364
OPRE 6378 Supply Chain Strategy,OPRE 6378
OPRE 6379 Product Lifecycle Management,OPRE 6379
