Full Course Name,Course Code
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1314 College Algebra,MATH 1314
AMS 2341 American Studies for the Twenty-First Century,AMS 2341
or AMS 2300 American Popular Culture ,AMS 2300
or HUMA 1301 Exploration of the Humanities,HUMA 1301
ARTS 1301 Exploration of the Arts,ARTS 1301
HIST 1301 U.S. History Survey to Civil War,HIST 1301
HIST 1302 U.S. History Survey from Civil War,HIST 1302
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
MATH 1316 Trigonometry ,MATH 1316
or MATH 2306 Analytic Geometry,MATH 2306
STAT 1342 Statistical Decision Making ,STAT 1342
or PSY 2317 Statistics for Psychology,PSY 2317
AMS 4300 Oral and Written Communication for the Classroom,AMS 4300
BIS 3320 The Nature of Intellectual Inquiry,BIS 3320
ED 4693 Student Teaching - Elementary,ED 4693
CLDP 2314 or PSY 2314 Lifespan Development,CLDP 2314
ED 3339 Educational Psychology for Teachers,ED 3339
or PSY 3339 Educational Psychology,PSY 3339
ED 3314 The American Public School,ED 3314
ED 3315 Children's Literature,ED 3315
"ED 3345 Art, Music, and Physical Development Grades EC - 6",ED 3345
ED 4351 ESL for K-12 Teachers ,ED 4351
BIS 4306 Strategies for Diversity in Education,BIS 4306
ED 3340 Math Concepts for Teachers,ED 3340
ED 4352 Reading I: Learning to Read,ED 4352
ED 4357 Diagnostic Reading,ED 4357
ED 4363 Reading II/ELAR Methods,ED 4363
ED 4V95 Special Topics in Education (Topic: Exceptional Populations in the General Education Class),ED 4V95
ED 3342 Classroom Management Grades EC - 6,ED 3342
ED 4343 Science Methods for Grades EC - 6,ED 4343
ED 4344 Mathematics Methods for Elementary Teachers,ED 4344
ED 4345 Social Studies Methods for Grades EC - 6,ED 4345
ED 4372 Educational Technology,ED 4372
BIS 1100 Interdisciplinary Studies Freshman Seminar,BIS 1100
UNIV 1010 Freshman Seminar,UNIV 1010
COMM 1311 Survey of Oral and Technology-based Communication,COMM 1311
RHET 1302 Rhetoric,RHET 1302
MATH 1314 College Algebra,MATH 1314
AMS 2341 American Studies for the Twenty-First Century,AMS 2341
or AMS 2300 American Popular Culture ,AMS 2300
or HUMA 1301 Exploration of the Humanities,HUMA 1301
ARTS 1301 Exploration of the Arts,ARTS 1301
HIST 1301 U.S. History Survey to Civil War,HIST 1301
HIST 1302 U.S. History Survey from Civil War,HIST 1302
GOVT 2305 American National Government,GOVT 2305
GOVT 2306 State and Local Government,GOVT 2306
MATH 1316 Trigonometry ,MATH 1316
